,region,country,latidude,longitude,pytzname,timezone,dst,std,dst
AndijonUZ,Andijon,UZ,40.783058166503906,72.343887329101562,Asia/Tashkent,5.0,0.0,UZT,UZT
Andorra la VellaAD,Andorra la Vella,AD,42.507789611816406,1.521090030670166,Europe/Andorra,1.0,1.0,CET,CEST
Anenii NoiMD,Anenii Noi,MD,46.866058349609382,29.466360092163089,Europe/Chisinau,2.0,1.0,EET,EEST
Ang ThongTH,Ang Thong,TH,14.594499588012695,100.33824920654295,Asia/Bangkok,7.0,0.0,ICT,ICT
AnguillaAI,Anguilla,AI,18.217039108276367,-63.057830810546882,America/Anguilla,-4.0,0.0,AST,AST
AnhuiCN,Anhui,CN,30.69889068603516,117.20417022705078,Asia/Shanghai,8.0,0.0,CST,CST
AnkaraTR,Ankara,TR,38.939250946044922,33.538600921630852,Europe/Istanbul,2.0,1.0,EET,EEST
AnnabaDZ,Annaba,DZ,36.803768157958977,7.736839771270752,Africa/Algiers,1.0,0.0,CET,CET
AntalyaTR,Antalya,TR,36.766719818115227,31.388519287109371,Europe/Istanbul,2.0,1.0,EET,EEST
AntananarivoMG,Antananarivo,MG,-18.433330535888672,46.566669464111328,Indian/Antananarivo,3.0,0.0,EAT,EAT
Antigua and BarbudaAG,Antigua and Barbuda,AG,17.049999237060547,-61.799999237060547,America/Antigua,-4.0,0.0,AST,AST
AntioquiaCO,Antioquia,CO,7.4897098541259775,-74.869186401367202,America/Bogota,-5.0,0.0,COT,COT
AntiquePH,Antique,PH,11.291520118713381,122.03540802001952,Asia/Manila,8.0,0.0,PHT,PHT
AntofagastaCL,Antofagasta,CL,-22.09197998046875,-70.197921752929688,America/Santiago,-3.0,1.0,CLT,CLST
AntsirananaMG,Antsiranana,MG,-12.27869987487793,49.291709899902344,Indian/Antananarivo,3.0,0.0,EAT,EAT
AntwerpenBE,Antwerpen,BE,51.219791412353523,4.3266401290893564,Europe/Brussels,1.0,1.0,CET,CEST
AnzoateguiVE,Anzoategui,VE,8.8872404098510742,-64.165122985839844,America/Caracas,-4.5,0.0,VET,VET
AomoriJP,Aomori,JP,40.799999237060547,140.38299560546878,Asia/Tokyo,9.0,0.0,JST,JST
